num,year,sikibetu1,sikibetu2,
187,1962,187n,187s,
193,1962,193s,193n,
223,1962,223sw,223ne,
224,1962,224s,224s,
237,1962,237s,237n,
245,1962,245s,245n,
264,1962,264s,264n,
265,1962,265s,265n,
285,1962,285s,285n,
302,1962,302s,302n,
364,1962,364s,364n,
411,1962,411s,411n,
460,1962,460w,460e,
505,1962,505s,505n,
514,1962,514s,514n,
533,1962,533s,533n,
547,1962,547e,547w,
699,1962,699se,699nw,
729,1962,729s,729sw,
826,1962,826s,826n,
9,1963,9s,9n,
11,1963,11n,11s,
32,1963,32w,32e,
34,1963,34se,34ne,
91,1963,91se,91ne,
112,1963,112s,112n,
121,1963,121sw,121ne,
122,1963,122sw,122ne,
133,1963,133ne,133sw,
135,1963,135nw,135se,
144,1963,144se,144nw,
176,1963,176se,176ne,
177,1963,177nw,177se,
178,1963,178s,178n,
179,1963,179s,179n,
187,1963,187n,187s,
193,1963,193s,193n,
223,1963,223sw,223ne,
224,1963,224s,224s,
237,1963,237s,237n,
245,1963,245s,245n,
264,1963,264s,264n,
265,1963,265s,265n,
285,1963,285s,285n,
302,1963,302s,302n,
364,1963,364s,364n,
411,1963,411s,411n,
460,1963,460w,460e,
505,1963,505s,505n,
514,1963,514s,514n,
533,1963,533s,533n,
547,1963,547e,547w,
699,1963,699se,699nw,
729,1963,729s,729sw,
826,1963,826s,826n,
9,1964,9s,9n,
11,1964,11n,11s,
32,1964,32w,32e,
34,1964,34se,34ne,
91,1964,91se,91ne,
112,1964,112s,112n,
121,1964,121sw,121ne,
122,1964,122sw,122ne,
133,1964,133ne,133sw,
135,1964,135nw,135se,
144,1964,144se,144nw,
174,1964,174s,174n,
176,1964,176se,176ne,
177,1964,177nw,177se,
178,1964,178s,178n,
179,1964,179s,179n,
187,1964,187n,187s,
193,1964,193s,193n,
223,1964,223sw,223ne,
224,1964,224s,224s,
237,1964,237s,237n,
245,1964,245s,245n,
255,1964,255s,255n,
264,1964,264s,264n,
265,1964,265s,265n,
285,1964,285s,285n,
299,1964,299s,299n,
302,1964,302s,302n,
364,1964,364s,364n,
411,1964,411s,411n,
460,1964,460w,460e,
